t,mse,failures
833, 11306.131130539226, 0
834, 11306.131130539226, 0
835, 11306.131130539226, 0
836, 11306.131130539226, 0
837, 11306.131130539226, 0
838, 11306.131130539226, 0
839, 11306.131130539226, 0
840, 11306.131130539226, 0
841, 11306.131130539226, 0
842, 11306.131130539226, 0
843, 11306.131130539226, 0
844, 11306.131130539226, 0
845, 11306.131130539226, 0
846, 11306.131130539226, 0
847, 11306.131130539226, 0
848, 11306.131130539226, 0
849, 11306.131130539226, 0
850, 11306.131130539226, 0
851, 11306.131130539226, 0
852, 11306.131130539226, 0
853, 11306.131130539226, 0
854, 11306.131130539226, 0
855, 11306.131130539226, 0
856, 11306.131130539226, 0
857, 11306.131130539226, 0
858, 11306.131130539226, 0
859, 11306.131130539226, 0
860, 11306.131130539226, 0
861, 11306.131130539226, 0
862, 11306.131130539226, 0
863, 11306.131130539226, 0
864, 11306.131130539226, 0
865, 11306.131130539226, 0
866, 11306.131130539226, 0
867, 11306.131130539226, 0
868, 11306.131130539226, 0
869, 11306.131130539226, 0
870, 11306.131130539226, 0
871, 11306.131130539226, 0
872, 11306.131130539226, 0
873, 11306.131130539226, 0
874, 11306.131130539226, 0
875, 11306.131130539226, 0
876, 11306.131130539226, 0
877, 11306.131130539226, 0
878, 11306.131130539226, 0
879, 11306.131130539226, 0
880, 11306.131130539226, 0
881, 11306.131130539226, 0
882, 11306.131130539226, 0
883, 11306.131130539226, 0
884, 11306.131130539226, 0
885, 11306.131130539226, 0
886, 11306.131130539226, 0
887, 11306.131130539226, 0
888, 11306.131130539226, 0
889, 11306.131130539226, 0
890, 11306.131130539226, 0
891, 11306.131130539226, 0
892, 11306.131130539226, 0
893, 11306.131130539226, 0
894, 11306.131130539226, 0
895, 11306.131130539226, 0
896, 11306.131130539226, 0
897, 11306.131130539226, 0
898, 11306.131130539226, 0
899, 11306.131130539226, 0
900, 11306.131130539226, 0
901, 11306.131130539226, 0
902, 11306.131130539226, 0
903, 11306.131130539226, 0
904, 11306.131130539226, 0
905, 11306.131130539226, 0
906, 11306.131130539226, 0
907, 11306.131130539226, 0
908, 11306.131130539226, 0
909, 11306.131130539226, 0
910, 11306.131130539226, 0
911, 11306.131130539226, 0
912, 11306.131130539226, 0
913, 11306.131130539226, 0
914, 11306.131130539226, 0
915, 11306.131130539226, 0
916, 11306.131130539226, 0
917, 11306.131130539226, 0
918, 11306.131130539226, 0
919, 11306.131130539226, 0
920, 11306.131130539226, 0
921, 11306.131130539226, 0
922, 11306.131130539226, 0
923, 11306.131130539226, 0
924, 11306.131130539226, 0
925, 11306.131130539226, 0
926, 11306.131130539226, 0
927, 11306.131130539226, 0
928, 11306.131130539226, 0
929, 11306.131130539226, 0
930, 11306.131130539226, 0
931, 11306.131130539226, 0
932, 11306.131130539226, 0
933, 11306.131130539226, 0
934, 11306.131130539226, 0
935, 11306.131130539226, 0
936, 11306.131130539226, 0
937, 11306.131130539226, 0
938, 11306.131130539226, 0
939, 11306.131130539226, 0
940, 11306.131130539226, 0
941, 11306.131130539226, 0
942, 11306.131130539226, 0
943, 11306.131130539226, 0
944, 11306.131130539226, 0
945, 11306.131130539226, 0
946, 11306.131130539226, 0
947, 11306.131130539226, 0
948, 11306.131130539226, 0
949, 11306.131130539226, 0
950, 11306.131130539226, 0
951, 11306.131130539226, 0
952, 11306.131130539226, 0
953, 11306.131130539226, 0
954, 11306.131130539226, 0
955, 11306.131130539226, 0
956, 11306.131130539226, 0
957, 11306.131130539226, 0
958, 11306.131130539226, 0
959, 11306.131130539226, 0
960, 11306.131130539226, 0
961, 11306.131130539226, 0
962, 11306.131130539226, 0
963, 11306.131130539226, 0
964, 11306.131130539226, 0
965, 11306.131130539226, 0
966, 11306.131130539226, 0
967, 11306.131130539226, 0
968, 11306.131130539226, 0
969, 11306.131130539226, 0
970, 11306.131130539226, 0
971, 11306.131130539226, 0
972, 11306.131130539226, 0
973, 11306.131130539226, 0
974, 11306.131130539226, 0
975, 11306.131130539226, 0
976, 11306.131130539226, 0
977, 11306.131130539226, 0
978, 11306.131130539226, 0
979, 11306.131130539226, 0
980, 11306.131130539226, 0
981, 11306.131130539226, 0
982, 11306.131130539226, 0
983, 11306.131130539226, 0
984, 11306.131130539226, 0
